nameEn,nameZh,cas,unii,synonyms
Semaglutide,司美格鲁肽,,,Ozempic|Wegovy|Rybelsus|诺和泰
Tirzepatide,替尔泊肽,,,Mounjaro|Zepbound
Liraglutide,利拉鲁肽,,,Victoza|Saxenda|诺和力
Dulaglutide,度拉糖肽,,,Trulicity|度易达
Insulin degludec,德谷胰岛素,,,Tresiba|诺和佳
Insulin detemir,地特胰岛素,,,Levemir|诺和平
Insulin lispro,赖脯胰岛素,,,Humalog|优泌乐
Insulin aspart,门冬胰岛素,,,NovoRapid|诺和锐
Canagliflozin,卡格列净,,,Invokana
Ertugliflozin,埃格列净,,,Steglatro|艾托格列净
Saxagliptin,沙格列汀,,,Onglyza|安立泽
Vildagliptin,维格列汀,,,Galvus|佳维乐
Alogliptin,阿格列汀,,,Nesina
Nateglinide,那格列奈,,,Starlix|唐力
Voglibose,伏格列波糖,,,Basen
Miglitol,米格列醇,,,Seibule
Glibenclamide,格列本脲,,,Glyburide|Daonil|优降糖
Sacubitril,沙库巴曲,,,Entresto
Valsartan sacubitril,沙库巴曲缬沙坦,,,Entresto|诺欣妥
Ivabradine,伊伐布雷定,,,Procoralan
Ranolazine,雷诺嗪,,,Ranexa
Ticagrelor,替格瑞洛,274693-27-5,GLH0314RVC,Brilinta|倍林达
Prasugrel,普拉格雷,150322-43-3,34K66TBT99,Efient
Cangrelor,坎格瑞洛,,,
Vorapaxar,沃拉帕沙,,,
Idarucizumab,依达赛珠单抗,,,Praxbind
Andexanet alfa,安得贤,,,Andexxa
Baloxavir marboxil,玛巴洛沙韦,,,Xofluza|速福达
Molnupiravir,莫努匹韦,,,Lagevrio
Nirmatrelvir,奈玛特韦,,,Paxlovid|帕罗韦德
Ritonavir nirmatrelvir,奈玛特韦利托那韦,,,Paxlovid
Sotrovimab,索托维单抗,,,Xevudy
Casirivimab,卡西瑞单抗,,,Ronapreve
Imdevimab,伊德维单抗,,,
Baricitinib,巴瑞替尼,,,Olumiant
Tofacitinib,托法替布,,,Xeljanz
Upadacitinib,乌帕替尼,,,Rinvoq
Filgotinib,非戈替尼,,,Jyseleca
Dupilumab,度普利尤单抗,,,Dupixent
Secukinumab,司库奇尤单抗,,,Cosentyx|可善挺
Ustekinumab,乌司奴单抗,,,Stelara
Guselkumab,古塞奇尤单抗,,,Tremfya
Risankizumab,瑞莎珠单抗,,,Skyrizi
Ixekizumab,依奇珠单抗,,,Taltz
Brodalumab,布罗达单抗,,,Siliq
Omalizumab,奥马珠单抗,,,Xolair
Mepolizumab,美泊利单抗,,,Nucala
Benralizumab,贝那利珠单抗,,,Fasenra
Tezepelumab,替泽帕单抗,,,Tezspire
Emicizumab,艾美赛珠单抗,,,Hemlibra
Pembrolizumab,帕博利珠单抗,,,Keytruda
Nivolumab,纳武利尤单抗,,,Opdivo
Atezolizumab,阿替利珠单抗,,,Tecentriq
Durvalumab,度伐利尤单抗,,,Imfinzi
Avelumab,阿维鲁单抗,,,Bavencio
Cemiplimab,西米普利单抗,,,Libtayo
Ipilimumab,伊匹木单抗,,,Yervoy
Osimertinib,奥希替尼,,,Tagrisso|多泽润
Alectinib,阿来替尼,,,Alecensa
