nameEn,nameZh,cas,unii,synonyms
Aspirin,阿司匹林,50-78-2,R16CO5Y76E,Acetylsalicylic acid|ASA
Ibuprofen,布洛芬,15687-27-1,WK2XYI10QM,(±)-2-(4-Isobutylphenyl)propionic acid
Paracetamol,对乙酰氨基酚,103-90-2,362O9ITL9D,Acetaminophen|APAP
Metformin,二甲双胍,657-24-9,9100L32L2N,Metformin hydrochloride|Glucophage|格华止
Amoxicillin,阿莫西林,26787-78-0,9EM05410Q9,Amoxycillin
Atorvastatin,阿托伐他汀,134523-00-5,A0JWA85V8F,Atorvastatin calcium|Lipitor|立普妥
Omeprazole,奥美拉唑,73590-58-6,KG60484QX9,Losec|Prilosec
Amlodipine,氨氯地平,88150-42-9,1J444QC288,Amlodipine besylate|Norvasc|络活喜
Losartan,氯沙坦,114798-26-4,JMS50MPO89,Losartan potassium
Simvastatin,辛伐他汀,79902-63-9,AGG2FN16EV,Zocor
Metoprolol,美托洛尔,37350-58-6,GEB06NHM23,Metoprolol tartrate
Lisinopril,赖诺普利,83915-83-7,E7199S1YWR,
Gabapentin,加巴喷丁,60142-96-3,6CW7F3GXoM,
Sertraline,舍曲林,79617-96-2,QUC7NX6WMB,Sertraline hydrochloride
Fluoxetine,氟西汀,54910-89-3,01K63SUP8D,Fluoxetine hydrochloride|Prozac|百忧解
Citalopram,西酞普兰,59729-33-8,0DHU5B8D6V,
Escitalopram,艾司西酞普兰,128196-01-0,4O4S742ANY,
Venlafaxine,文拉法辛,93413-69-5,GRZ5RCB1QG,
Duloxetine,度洛西汀,116539-59-4,O5TNM5N07U,
Tramadol,曲马多,27203-92-5,39J1LGJ38S,
Morphine,吗啡,57-27-2,76I7G6D29C,
Codeine,可待因,76-57-3,UX6OWY2V7J,
Oxycodone,羟考酮,76-42-6,CD35PMG570,
Fentanyl,芬太尼,437-38-7,UF599785JZ,
Methadone,美沙酮,76-99-3,UC6VBE7V1Z,
Diazepam,地西泮,439-14-5,Q3JTX2Q7TU,
Lorazepam,劳拉西泮,846-49-1,O26FZP769L,
Alprazolam,阿普唑仑,28981-97-7,YU55MQ3IZY,
Clonazepam,氯硝西泮,1622-61-3,5PE9FDE8GB,
Zolpidem,唑吡坦,82626-48-0,7K383OQI23,
Warfarin,华法林,81-81-2,5Q7ZBV23MI,Coumadin
Heparin,肝素,9005-49-6,T2410KM04A,
Clopidogrel,氯吡格雷,113665-84-2,A74586SNO7,Clopidogrel bisulfate|Plavix
Aspirin lysine,阿司匹林赖氨酸,,,
Rosuvastatin,瑞舒伐他汀,287714-41-4,83MVU38M7Q,Crestor
Pravastatin,普伐他汀,81093-37-0,KXO2KT9N0G,
Ezetimibe,依折麦布,163222-33-1,EOR26LQQ24,
Fenofibrate,非诺贝特,49562-28-9,U202363U8B,
Gemfibrozil,吉非罗齐,25812-30-0,Q1200Y30I4,
Hydrochlorothiazide,氢氯噻嗪,58-93-5,0J48LPH2TH,
Furosemide,呋塞米,54-31-9,7LXU5N7ZO5,
Spironolactone,螺内酯,52-01-7,27O7W4T232,
Chlorthalidone,氯噻酮,77-36-1,Q0MQD1073Z,
Indapamide,吲达帕胺,26807-65-8,F089I17960,
Nifedipine,硝苯地平,21829-25-4,I9ZF7L6G2L,
Diltiazem,地尔硫䓬,42399-41-7,EE92BBP03H,
Verapamil,维拉帕米,52-53-9,CJ0O37KU29,
Carvedilol,卡维地洛,72956-09-3,0K47UL67F2,
Bisoprolol,比索洛尔,66722-44-9,Y41JS2NL6U,
Atenolol,阿替洛尔,29122-68-7,50VV3VW0TI,
Propranolol,普萘洛尔,525-66-6,9K8XRXo36Q,
Ramipril,雷米普利,87333-19-5,L35JN3I7SJ,
Enalapril,依那普利,75847-73-3,69K7K8K2WL,
Captopril,卡托普利,62571-86-2,9G64SC2038,
Valsartan,缬沙坦,137862-53-4,80M03YXJ7I,
Telmisartan,替米沙坦,144701-48-4,U5SYW473RQ,
Irbesartan,厄贝沙坦,138402-11-6,J0E2756Z7N,
Candesartan,坎地沙坦,139481-59-7,S8Q36MD2XX,
Olmesartan,奥美沙坦,144689-24-7,8L641QZQHD,
Digoxin,地高辛,20830-75-5,73K4184T59,
Amiodarone,胺碘酮,1951-25-3,N3RQ532IUT,
Sotalol,索他洛尔,3930-20-9,4L81F0G0Y5,
Isosorbide mononitrate,单硝酸异山梨酯,16051-77-7,LX1OH63030,
Nitroglycerin,硝酸甘油,55-63-0,G59M7S0WS3,Glyceryl trinitrate
Ranitidine,雷尼替丁,66357-35-5,884KT10YB7,
Famotidine,法莫替丁,76824-35-6,5QZO15J2Z8,
Pantoprazole,泮托拉唑,102625-70-7,D6A6JQD40P,
Esomeprazole,埃索美拉唑,119141-88-7,N3PAIN7O5H,
Lansoprazole,兰索拉唑,103577-45-3,0K5C5T2QPG,
Rabeprazole,雷贝拉唑,117976-89-3,32828355LL,
Domperidone,多潘立酮,57808-66-9,5587267Z69,
Metoclopramide,甲氧氯普胺,364-62-5,L4YEA0RW56,
Ondansetron,昂丹司琼,99614-02-5,4AF302ESOS,
Loperamide,洛哌丁胺,53179-11-6,6X9OC3H4II,
Bisacodyl,比沙可啶,603-50-9,10X0709Y6I,
Lactulose,乳果糖,4618-18-2,9U7D5QH5AE,
Mesalazine,美沙拉嗪,89-57-6,4Q81I59GXC,Mesalamine|5-ASA
Sulfasalazine,柳氮磺吡啶,599-79-1,3XC8GUZ6CB,
Prednisone,泼尼松,53-03-2,VB0R961HZT,
Prednisolone,泼尼松龙,50-24-8,9PHQ9Y1OLM,
Dexamethasone,地塞米松,50-02-2,7S5I7G3JQL,
Hydrocortisone,氢化可的松,50-23-7,WI4X0X7BPJ,
Methylprednisolone,甲泼尼龙,83-43-2,X4W7ZR7023,
Betamethasone,倍他米松,378-44-9,9842X06Q6M,
Budesonide,布地奈德,51333-22-3,Q3OKS62Q6X,
Fluticasone,氟替卡松,90566-53-3,CUT2W21N7U,
Beclomethasone,倍氯米松,4419-39-0,5B307S63B2,
Montelukast,孟鲁司特,158966-92-8,MHM278SD3E,
Salbutamol,沙丁胺醇,18559-94-9,QF8SV8JR1R,Albuterol
Salmeterol,沙美特罗,89365-50-4,2I4V1W2N1K,
Formoterol,福莫特罗,73573-87-2,W34SHF8J2K,
Tiotropium,噻托溴铵,136310-93-5,0EB439235F,
Ipratropium,异丙托溴铵,22254-24-6,GR88G0I6UL,
Theophylline,茶碱,58-55-9,0I55128JYK,
Cetirizine,西替利嗪,83881-51-0,YO7261ME24,
Loratadine,氯雷他定,79794-75-5,7AJO3BO7QN,
Fexofenadine,非索非那定,83799-24-0,E6582LOH6V,
Desloratadine,地氯雷他定,100643-71-8,FVF865388R,
Diphenhydramine,苯海拉明,58-73-1,8GTS82S83M,
Chlorphenamine,氯苯那敏,132-22-9,3U6IO1965U,Chlorpheniramine
Promethazine,异丙嗪,60-87-7,FF28EJQ494,
Insulin human,人胰岛素,11061-68-0,1Y17CTI5WQ,
Insulin glargine,甘精胰岛素,160337-95-1,2ZM8CX04RZ,
Metformin hydrochloride,盐酸二甲双胍,1115-70-4,7866113PPU,
Gliclazide,格列齐特,21187-98-4,G4PX8C4HKV,
Glimepiride,格列美脲,93479-97-1,6KY687524F,
Glipizide,格列吡嗪,29094-61-9,X7WDT95N5C,
Sitagliptin,西他列汀,486460-32-6,QFP0P1DV7Z,Januvia
Linagliptin,利格列汀,668270-12-0,3X29ZEJ4R2,
Empagliflozin,恩格列净,864070-44-0,HDC1R2M35U,Jardiance
Dapagliflozin,达格列净,461432-26-8,1ULL0QJ8UC,Farxiga|Forxiga
Pioglitazone,吡格列酮,111025-46-8,X4PV5J91CM,
Acarbose,阿卡波糖,56180-94-0,T58MSI464G,
Repaglinide,瑞格列奈,135062-02-1,668Z8C33LU,
Levothyroxine,左甲状腺素,51-48-9,Q51BO43MG4,Levothyroxine sodium|T4|Synthroid|优甲乐
Liothyronine,碘塞罗宁,6893-02-3,06CA6660VV,T3
Methimazole,甲巯咪唑,60-56-0,554Z48XN5E,Thiamazole
Propylthiouracil,丙硫氧嘧啶,51-52-5,721M76096N,
Allopurinol,别嘌醇,315-30-0,63CZ7GJN5I,
Colchicine,秋水仙碱,64-86-8,SML2Y3J35T,
Febuxostat,非布司他,144060-53-7,101V0R1N1P,
Methotrexate,甲氨蝶呤,59-05-2,YL5FZ2Y5U1,
Cyclophosphamide,环磷酰胺,50-18-0,8N3DW7272P,
Cisplatin,顺铂,15663-27-1,Q20Q21Q62J,
Carboplatin,卡铂,41575-94-4,BG3F62OND5,
Paclitaxel,紫杉醇,33069-62-4,P88XT4IS4D,
Docetaxel,多西他赛,114977-28-5,15H5577CQD,
Doxorubicin,多柔比星,23214-92-8,80168379AG,
5-Fluorouracil,氟尿嘧啶,51-21-8,U3P01618RT,Fluorouracil|5-FU
Capecitabine,卡培他滨,154361-50-9,6804DJ8Z9U,
Gemcitabine,吉西他滨,95058-81-4,B76N6SBZ8R,
Imatinib,伊马替尼,152459-95-5,BKJ8M8G5HI,
Erlotinib,厄洛替尼,183321-74-6,J4RVF12Y0Z,
Gefitinib,吉非替尼,184475-35-2,S65743JHBS,
Rituximab,利妥昔单抗,174722-31-7,4F4X42SYQ6,
Trastuzumab,曲妥珠单抗,180288-69-1,P188ANX8CK,
Bevacizumab,贝伐珠单抗,216974-75-3,2S9ZZM9Q9V,
Adalimumab,阿达木单抗,331731-18-1,FYS6T7F842,
Infliximab,英夫利西单抗,170277-31-3,B72HH48FLU,
Etanercept,依那西普,185243-69-0,OP401G7OJC,
Tocilizumab,托珠单抗,375823-41-9,I031V2H011,
Oseltamivir,奥司他韦,196618-13-0,20O93L6F9H,Tamiflu|奥司他韦磷酸盐
Aciclovir,阿昔洛韦,59277-89-3,X4HES1O11F,Acyclovir
Valaciclovir,伐昔洛韦,124832-26-4,MZ1IW7Q79D,Valacyclovir
Ganciclovir,更昔洛韦,82410-32-0,P9G3CKZ4P5,
Lamivudine,拉米夫定,134678-17-4,2T8Q726O95,
Tenofovir,替诺福韦,147127-20-6,99YXE507IL,
Efavirenz,依非韦伦,154598-52-4,JE6H2O27P8,
Ritonavir,利托那韦,155213-67-5,O3J8G9X961,
Lopinavir,洛匹那韦,192725-17-0,2494G1JF75,
Dolutegravir,多替拉韦,1051375-16-6,1Q1V9V5WYQ,
Remdesivir,瑞德西韦,1809249-37-3,3QKI37EEHE,
Ivermectin,伊维菌素,70288-86-7,8883YP2R6D,
Albendazole,阿苯达唑,54965-21-8,FJD863WHJH,
Mebendazole,甲苯咪唑,31431-39-7,81G6I5V05I,
Metronidazole,甲硝唑,443-48-1,140QMO216E,
Tinidazole,替硝唑,19387-91-8,033KF7V46H,
Ciprofloxacin,环丙沙星,85721-33-1,5E8K9I0O4U,
Levofloxacin,左氧氟沙星,100986-85-4,RIX4E3B3KF,
Moxifloxacin,莫西沙星,151096-09-2,U188XYD42P,
